,Rating,Review_Title,Review,Title_Sentiment,Title_Score,Review_Length,Review_Sentiment,Review_Score,Review_Summary
3,7.0, Love Hurts ,"Ichi the Killer, is hands down the number one hardest film for me to sit through.... so far. The acting is so good, characters so charismatic, that you are compelled to keep watching. ",NEGATIVE,0.9600633382797241,184,POSITIVE,0.9998266100883484,Ichi the Killer is hands down the number one hardest film for me to sit through so far. The acting is so good and the characters so charismatic that you are compelled to keep watching it. It's a great film.    It's worth watching. 
4,9.0, Absolutely amazing  ,"You know those revenge stories that are so often used in various Asian cinema, the ones that involve, like, Jackie Chan killing the killers of his brother or whatever  This film is NOTHING like that. However, that's as close of a basic foundational structure I can give you to help explain this amazing psychological look into a world defined by violence and masochism.",POSITIVE,0.9998770952224731,369,POSITIVE,0.999086856842041,"This film is nothing like the usual revenge stories used in Asian cinema. It's an amazing psychological look into a world defined by violence and masochism. It is not about killing the killers of Jackie Chan's brother, but it's about revenge.  "
5,10.0, A symphony of violence ,"In 2001 Japanesse cult director Takashi Miike created one of the most unique and controversial movies ever to grace the screen. An adaptation of a manga with the same name, ""Ichi The Killer"" is a wild and crazy ride into the depths of human madness. As the movie creates its own parallel to our world where sexual violence and torture are common ways to express a character's emotional condition or thoughts.",NEGATIVE,0.9988383650779724,408,POSITIVE,0.9995679259300232,"""Ichi The Killer"" is an adaptation of a manga with the same name. Takashi Miike created one of the most unique and controversial movies ever to grace the screen. The movie creates its own parallel to our world where sexual violence and torture are common ways to express a character's emotional condition."
7,7.0, Takashi Miike at his best ,Ichi (Nao Omori) is a disturbed and brainwashed killing machine who dresses up in a superhero costume and is controlled by his mentor named Jijii (Shinya Tsukamoto).,POSITIVE,0.9996857643127441,165,NEGATIVE,0.9234590530395508,"Ichi (Nao Omori) is a disturbed and brainwashed killing machine who dresses up in a superhero costume and is controlled by his mentor Jijii (Shinya Tsukamoto). He is obsessed with his mentor, who dresses as a superhero."
10,8.0, The Extreme Limits of On screen Violence ,"To be honest, I don't know what to think of this film. Personally, I couldn't think about it in a critical way like I do with most films purely because of the extreme levels of on screen violence. Essentially, the violence is the protagonist of this film and anyone who thinks otherwise is sorely mistaken. How can anyone know what the hell is going on when every five minutes or so there's another scene of extreme brutality  ",NEGATIVE,0.9798411130905151,427,NEGATIVE,0.9910338521003723,The extreme level of on screen violence in this film makes it difficult to think about it in a critical way. The violence is the protagonist of this film and anyone who thinks otherwise is sorely mistaken. Every five minutes or so there's another scene of extreme brutality.
12,10.0, A Miike Masterpiece ,Ichi the Killer is a landmark picture in Japanese Cinema. It is an audio and visual attack on the senses (and gag reflex) which adopts a unique style of movie comic book  hybrid film making. A real Miike masterpiece  ,POSITIVE,0.9997867941856384,217,POSITIVE,0.9997920393943787,Ichi the Killer is a landmark picture in Japanese Cinema. It is an audio and visual attack on the senses (and gag reflex) which adopts a unique style of movie comic book  hybrid film making. A real Miike masterpiece. It's one of the best movies of all time.
13,10.0, Miike in top form ,"Ichi the Killer is an experience that makes more sense (in a sick and twisted way) after each viewing.  Upon first seeing this, my spine cringed during Suzuki's ""hanging out"" scene and was pretty much dumbfounded by how intense, powerfully violent, yet addictingly hard to turn away from story all about a vicious killer and tears of pain. See this in a movie theater and see how many groans, moans, and people heading to the exits you can find.  To those who stay till the end, you won't be disappointed.",POSITIVE,0.9997828602790833,505,POSITIVE,0.9771058559417725,"Ichi the Killer is an intense, powerfully violent, yet addictingly hard to turn away from story all about a vicious killer and tears of pain. The movie makes more sense after each viewing.   To those who stay till the end, you won't be disappointed. "
14,8.0, Ichi the Bloody Killer ,"Japan's Takashi Miike is a fan favorite of American filmmakers Quentin Tarantino and Eli Roth. I first came by Miike on the ""Masters of Horror"" TV show when he directed the segment called ""Imprint."" Last year, I came across Miike's infamous horror film ""Audition,"" which is now considered one of my favorite and most shocking flicks in the genre.",POSITIVE,0.7542088031768799,346,POSITIVE,0.9984989166259766,"Takashi Miike is a fan favorite of Quentin Tarantino and Eli Roth. He directed the segment called ""Imprint"" on the ""Masters of Horror"" TV show. His film ""Audition"" is considered one of the most shocking flicks in the horror genre."
15,8.0," Bloody as hell, Gory and swell.. In short... a masterpiece ",This has to be one of my greatest experiences in the Asian cinema. I have been watching Asian movies since the eighties where I saw my first martial arts movies and I have been an Asian fan ever since. ,NEGATIVE,0.8690442442893982,202,POSITIVE,0.9997994303703308,"""This has to be one of the greatest experiences in the Asian cinema. I have been watching Asian movies since the eighties. I saw my first martial arts movies in the 80s and I've been an Asian fan ever since. I love Asian movies. "
16,," A Gory, Subversive Delight ",I wish somebody would clone Takashi Miike. This man churns out gory masterpieces with speed and consistency not seen since the 1970s giallo boom. Ichi The Killer is the movie that brought Miike to international attention and it still holds up as one of the filthiest exercises in film making that I have had the pleasure to watch.,POSITIVE,0.9998832941055298,330,POSITIVE,0.9990507960319519,Takashi Miike's Ichi The Killer is one of the filthiest movies I've ever seen. He churns out gory masterpieces with speed and consistency not seen since the 1970s giallo boom. I wish somebody would clone him.
20,7.0, Quentin Tarantino would be jealous ,"Takashi Miike has taken an already gory and upsetting manga series of the same name by Hideo Yamamoto and turned it into one of the most notorious gory Japanese films ever made. The story goes that a mob boss has been literally torn apart by a mysterious killer. One of his enforcers, Kakihara (Tadanobu Asano), sets out to find his killer, but given that Kakihara is about as sane as a cuckoo clock factory, and a sadomasochist to boot, things inevitable don't work out nice and neatly.",NEGATIVE,0.9827640056610107,487,NEGATIVE,0.9908112287521362,"Takashi Miike has taken a gory and upsetting manga series of the same name and turned it into one of the most notorious gory Japanese films ever made. The story goes that a mob boss has been killed by a mysterious killer. One of his enforcers, Kakihara (Tadanobu Asano), sets out to find his killer."
